Frame,time,wavelength,distance,force/radius
39,19.5,637.5905760905762,121.68227170804984,-37.07036193635269
41,20.5,628.6078921078921,117.90083142616332,18.706995801667723
42,21.0,619.7309357309357,114.19763912225378,12.624447195143164
43,21.5,610.9597069597071,110.57155295720058,7.987101575108315
44,22.0,602.2222222222225,106.99198588235353,4.221664847048731
45,22.5,593.7602619602625,103.55615163438189,3.1502173880414315
46,23.0,585.4205572205578,100.1994646642024,3.5622300521099124
47,23.5,576.9372405372412,96.81475373403572,3.448988679762855
48,24.0,568.1768231768237,93.35063620967495,1.847426808185964
49,24.5,559.1090021090026,89.79781691219631,-1.4166754177424261
50,25.0,549.7707847707853,86.17337145669404,-6.023269162788169
51,25.5,540.7760017760022,82.71447664081946,-7.526941631345321
52,26.0,532.4755244755249,79.55002667761065,-3.5118241988536094
53,26.5,525.7369297369302,76.99997345323435,12.018952233303269
54,27.0,520.557886557887,75.05140015558929,38.823287416020364
55,27.5,516.9928959928964,73.71571679489568,77.1150395594317
56,28.0,514.2207792207796,72.68022064631914,121.03321084264655
57,28.5,512.2637362637366,71.95081695671232,170.6884835085322
58,29.0,510.5523365523369,71.31406337985345,222.08030039292038
59,29.5,509.3313353313357,70.86039238347215,276.90364031820945
60,30.0,508.0774780774784,70.39504980666517,331.50821941409595
61,30.5,506.8549228549232,69.94184513853817,386.34029974573707
62,31.0,505.4885114885118,69.43591820777843,440.1842049133573
63,31.5,504.35742035742066,69.01760216700475,495.6702039756394
64,32.0,503.3690753690757,68.65243381519599,552.1523519821735
65,32.5,502.63780663780693,68.38246110725602,610.4187551836974
66,33.0,502.0913530913534,68.18083684520977,669.9662156342639
67,33.5,501.61938061938093,68.00677456754755,730.0302712967831
68,34.0,501.0952380952384,67.81355968780366,789.7353490862301
69,34.5,500.63369963369996,67.64349873663448,849.8744017474767
70,35.0,500.22510822510856,67.49300635525499,910.380228778713
71,35.5,499.87978687978716,67.36586103791917,971.3236506264217
72,36.0,499.6274836274839,67.27298956548087,1032.9094683162648
73,36.5,499.39693639693667,67.18814489437206,1094.645732616785
74,37.0,499.15839715839746,67.10037765439645,1156.3272191095054
75,37.5,498.94372294372323,67.0214073837927,1218.173587498749
76,38.0,498.6241536241539,66.90387862491953,1279.297252829221
77,38.5,498.11144411144437,66.71538894957834,1339.0908952857087
78,39.0,497.58963258963286,66.52364234370809,1398.8234929823725
79,39.5,497.16983016983045,66.36944558988527,1459.259888834748
80,40.0,496.9370629370632,66.28397337296458,1520.9843910227453
81,40.5,496.8948828948832,66.26848675463455,1584.0206356685376
82,41.0,496.94705294705324,66.28764134202925,1647.706161612959
83,41.5,496.95104895104924,66.28910853885436,1711.060172193579
84,42.0,496.95104895104924,66.28910853885436,1774.3866830541388
85,42.5,496.95104895104924,66.28910853885436,1837.7131939146982
86,43.0,496.95104895104924,66.28910853885436,1901.0397047752585
87,43.5,496.95104895104924,66.28910853885436,1964.3662156358187
88,44.0,496.95104895104924,66.28910853885436,2027.6927264963776
89,44.5,496.95104895104924,66.28910853885436,2091.019237356938
90,45.0,496.95104895104924,66.28910853885436,2154.345748217498
91,45.5,496.95215895215927,66.28951609446167,2217.679897906686
92,46.0,496.96714396714424,66.29501813484896,2281.1095336975995
93,46.5,496.94283494283525,66.2860926399726,2344.268753703728
94,47.0,496.9060939060942,66.27260287763127,2407.3424254893216
95,47.5,496.8096348096351,66.2371892714197,2470.005177922621
96,48.0,496.673326673327,66.1871508674179,2532.3938172728813
97,48.5,496.5334665334668,66.1358148813053,2594.758135997449
98,49.0,496.34865134865163,66.06798790146549,2656.813363464974
99,49.5,496.1110001110004,65.98078662838485,2718.5054578944796
100,50.0,495.86369186369217,65.8900615843104,2780.131506164246
101,50.5,495.6366966366969,65.80680601444195,2841.8975550434316
102,51.0,495.38295038295064,65.71375887589153,2903.480080217353
103,51.5,495.17216117216145,65.63647982476043,2965.3581471907687
104,52.0,494.98434898434925,65.56763678749351,3027.3943306593355
105,52.5,494.86524586524615,65.52398520285514,3089.902678382431
106,53.0,494.8091908091911,65.50344248978753,3152.844156472368
107,53.5,494.8432678432681,65.51593070999944,3216.4047344696555
108,54.0,494.84615384615415,65.51698836168809,3279.7510689318337
109,54.5,494.84615384615415,65.51698836168809,3343.0775797923943
110,55.0,494.84615384615415,65.51698836168809,3406.404090652954
111,55.5,494.84615384615415,65.51698836168809,3469.7306015135136
112,56.0,494.84615384615415,65.51698836168809,3533.0571123740738
113,56.5,494.84615384615415,65.51698836168809,3596.3836232346343
114,57.0,494.84615384615415,65.51698836168809,3659.7101340951936
115,57.5,494.8199578199581,65.50738823829222,3722.856709516006
116,58.0,494.8328338328341,65.51210691503141,3786.2716626953866
117,58.5,494.9346209346212,65.54941077252087,3850.2973610272807
119,59.5,495.3505383505386,65.70187510672615,4312.722221236524
120,60.0,495.5265845265848,65.76642601581825,4249.348639831646
121,60.5,495.5892995892999,65.78942421807123,4185.196234627376
122,61.0,495.5875235875239,65.78877292383535,4120.600566105013
123,61.5,495.57109557109584,65.7827485011023,4055.904188852242
124,62.0,495.57109557109584,65.7827485011023,3991.320727559923
125,62.5,495.57109557109584,65.7827485011023,3926.737266267603
126,63.0,495.57109557109584,65.7827485011023,3862.153804975284
127,63.5,495.57109557109584,65.7827485011023,3797.570343682965
128,64.0,495.57109557109584,65.7827485011023,3732.986882390646
129,64.5,495.57109557109584,65.7827485011023,3668.4034210983264
130,65.0,495.57109557109584,65.7827485011023,3603.819959806007
131,65.5,495.5333555333558,65.76890894558082,3538.977103253232
132,66.0,495.55266955266984,65.775991483406,3474.5263902085712
133,66.5,495.700077700078,65.83005073694835,3410.956163346423
134,67.0,495.9749139749143,65.93086094062853,3348.262191134846
135,67.5,496.2866022866026,66.04521847586301,3285.8221370199562
136,68.0,496.5365745365748,66.13695561114507,3222.958107978404
137,68.5,496.6262626262629,66.1698751828173,3158.9916593390367
138,69.0,496.62692862692893,66.17011964497259,3094.4127800092197
139,69.5,496.60783660783693,66.16311178768268,3029.6979702090584
140,70.0,496.6060606060609,66.16245990007259,2965.1022905650625
141,70.5,496.6060606060609,66.16245990007259,2900.5188292727435
142,71.0,496.6060606060609,66.16245990007259,2835.9353679804244
143,71.5,496.6060606060609,66.16245990007259,2771.3519066881054
144,72.0,496.6060606060609,66.16245990007259,2706.7684453957854
145,72.5,496.5914085914089,66.15708186685526,2642.0841834437215
146,73.0,496.6096126096129,66.16376367632921,2577.625959533926
147,73.5,496.658785658786,66.18181325504383,2513.380802110146
148,74.0,496.703407703408,66.19819301904647,2449.1043472923534
149,74.5,496.78343878343907,66.22757229592587,2385.071542787116
150,75.0,496.8716838716842,66.25996936415379,2321.0953008479005
151,75.5,496.96692196692226,66.2949366225998,2257.1672320714706
152,76.0,497.07314907314935,66.33394208759309,2193.31485153788
153,76.5,497.1462981462985,66.36080381095199,2129.2348604412723
154,77.0,497.21511821511854,66.38607745151467,2065.125103854731
155,77.5,497.31113331113363,66.42134086450687,2001.202585913046
156,78.0,497.47352647352676,66.48098983262447,1937.737127261544
157,78.5,497.705627705628,66.56625852120739,1874.7518599032212
158,79.0,497.96492396492425,66.66153908064643,1811.954245381317
159,79.5,498.23620823620854,66.76124852665623,1749.2396416312367
160,80.0,498.49028749028776,66.85465642556996,1686.4069277693313
161,80.5,498.64879564879595,66.91294007506607,1622.9158789044102
162,81.0,498.740370740371,66.94661614729296,1558.9636093807026
163,81.5,498.75246975247006,66.95106567875004,1494.4635458080154
164,82.0,498.730491730492,66.94298307963024,1429.728592085135
165,82.5,498.72960372960404,66.94265651333555,1365.1390099496327
166,83.0,498.69807969808,66.93106357929548,1300.3382618997946
167,83.5,498.69630369630397,66.93041046605644,1235.7425592837938
168,84.0,498.81673881673913,66.97470207723447,1171.9892571681671
169,84.5,499.09035409035437,67.07534560694234,1109.292160980651
170,85.0,499.53091353091384,67.23744823950317,1047.7469948509424
171,85.5,500.0872460872464,67.44224154713712,987.0019814979913
172,86.0,500.64935064935094,67.64926442741236,926.2987571009858
173,86.5,501.2314352314355,67.8637572422532,865.7355419419373
174,87.0,501.724275724276,68.04545315760406,804.5576133788256
175,87.5,502.1100011100014,68.1877157251022,742.6405842339792
176,88.0,502.4612054612058,68.31728980670121,680.4857343658099
177,88.5,502.84482184482215,68.45886950383282,618.5559061584278
178,89.0,503.35797535797565,68.64833451971673,557.5235941111897
179,89.5,504.00488400488433,68.88731099988112,497.41927712510955
180,90.0,504.81673881673913,69.18742134912809,438.46079432920243
181,90.5,505.635808635809,69.49042574499575,379.55655474766587
182,91.0,506.631923631924,69.8592339637678,321.8856784598234
183,91.5,508.4810744810748,70.54477691418839,270.1513720339011
184,92.0,510.61760461760497,71.33832871142916,220.44147910224928
185,92.5,512.7905427905432,72.14702943180536,171.0155229528327
186,93.0,515.7340437340441,73.24514842842635,127.01414341142181
187,93.5,520.3785103785108,74.98408511695848,95.02363169301444
188,94.0,527.6930846930851,77.73850496498116,82.0663554159561
189,94.5,538.1642801642806,81.71597988116397,92.03284193345338
190,95.0,550.3242313242318,86.38722265691163,115.00264306954374
193,96.5,562.9332889332895,91.2921522020611,13.185520698268773
195,97.5,575.380952380953,96.19705302188274,-24.048678780486938
196,98.0,587.39837939838,100.99289094279104,1.2564134045276085
197,98.5,597.5631035631043,105.09648552345578,13.5867650885067
198,99.0,605.9238539238547,108.50450615279807,12.879950514571973
199,99.5,613.0224220224228,111.42134432431253,2.9668864059942135
200,100.0,619.8176268176275,114.23364152335743,-8.905592709799205
