Frame,time,wavelength,distance,force/radius
47,23.5,823.6978576978577,208.68788757230658,-57.04425726657335
50,25.0,823.5770895770895,208.6471803572984,-9.665098303382562
51,25.5,822.6996336996336,208.35140606482383,0.8385726200921574
52,26.0,821.0654900654902,207.80051216105696,6.560527980831573
53,26.5,818.6949716949719,207.00123844416476,7.627092045407242
54,27.0,815.4974136974139,205.9228192897522,3.4616236680379147
55,27.5,812.0566988566992,204.761966098145,-2.2489086758212187
56,28.0,808.8364524364528,203.67504072848936,-6.573809335176292
57,28.5,806.4346764346767,202.86405388243782,-5.726784849333394
58,29.0,805.2529692529696,202.46492959583435,2.839793614524016
59,29.5,804.0670440670444,202.0643058896077,11.378268405321009
60,30.0,803.2198912198915,201.7780773504199,22.060855707736753
61,30.5,802.6532356532359,201.58659820235832,34.519334074791104
62,31.0,802.1569541569545,201.41888410847162,47.42324166158186
63,31.5,801.7330447330451,201.27561620684133,60.78534506236702
64,32.0,801.3437673437676,201.14404352665375,74.3666523969424
65,32.5,800.9426129426132,201.00844708891606,87.87254230672369
66,33.0,800.5739815739819,200.88383542500523,101.58432020643687
67,33.5,800.1751581751585,200.74900840521357,115.10463134298372
68,34.0,799.8084138084141,200.6250174880789,128.82804392066174
69,34.5,799.5675435675438,200.54357825503985,143.3490041624732
70,35.0,799.4509934509937,200.5041708799302,158.6577689488804
71,35.5,799.3391053391056,200.46633900234596,173.99606333906158
72,36.0,799.1304251304255,200.39577745320727,188.72090438066445
73,36.5,798.7903207903211,200.2807712638568,202.6127180171836
74,37.0,798.3788433788436,200.14162047342614,216.05198857339468
75,37.5,797.9669219669222,200.002308663757,229.48824114053488
76,38.0,797.5724275724278,199.8688803734975,243.0347687123382
77,38.5,797.2501942501945,199.75988511770615,257.03924548126247
78,39.0,797.0357420357423,199.68734297844017,271.7269642546591
79,39.5,796.9811299811303,199.66886902851707,287.42808494224124
80,40.0,796.9569319569322,199.66068335335132,303.32203911397517
81,40.5,796.8969918969922,199.64040674294523,318.98937247473333
82,41.0,796.6726606726609,199.56451752990873,333.61435693046195
83,41.5,796.3748473748476,199.46376480361064,347.77332371038426
84,42.0,796.1041181041184,199.37216965450324,362.10393127145886
85,42.5,795.9577089577092,199.32263335347554,377.2228492544361
86,43.0,795.9039849039851,199.30445590770282,392.9295273294065
87,43.5,795.9432789432792,199.31775100094322,409.22609627492005
88,44.0,795.9463869463872,199.31880258576072,425.2931847251012
89,44.5,795.9463869463872,199.31880258576072,441.3405632852353
90,45.0,795.9463869463872,199.31880258576072,457.38794184537
91,45.5,795.9710289710292,199.3271401278755,473.5915912413027
92,46.0,795.9618159618162,199.32402294353318,489.5805443091506
93,46.5,795.8649128649131,199.29123582386907,505.0133927688317
94,47.0,795.6747696747699,199.22689910129327,519.8549059466942
95,47.5,795.4405594405597,199.14764848453356,534.4168874979632
96,48.0,795.2274392274395,199.07553090316625,549.1125637745138
97,48.5,795.1175491175494,199.03834405030065,564.4629478849631
98,49.0,795.0821400821403,199.0263614418931,580.2857360076381
99,49.5,795.0784770784774,199.02512185675457,596.3098809813057
100,50.0,795.0801420801423,199.02568530466007,612.3678202647219
101,50.5,795.0839160839164,199.0269624525349,628.439136450968
102,51.0,795.0839160839164,199.0269624525349,644.4865150111021
103,51.5,795.0839160839164,199.0269624525349,660.5338935712367
104,52.0,795.0839160839164,199.0269624525349,676.5812721313715
105,52.5,795.0839160839164,199.0269624525349,692.6286506915056
106,53.0,795.0839160839164,199.0269624525349,708.6760292516398
107,53.5,795.0919080919083,199.02966699771582,724.774099194206
108,54.0,795.0799200799204,199.02561017828333,740.745440649559
109,54.5,795.0559440559443,199.01749650953474,756.6407444400214
110,55.0,795.0279720279723,199.00803051227618,772.5107014911674
111,55.5,795.0039960039962,198.999916757128,788.4060036622402
112,56.0,794.9920079920082,198.99585986458914,804.3773437473577
113,56.5,795.0000000000002,198.99856446072377,820.4754146449504
114,57.0,795.0000000000002,198.99856446072377,836.5227932050851
115,57.5,795.0000000000002,198.99856446072377,852.5701717652191
116,58.0,794.9920079920082,198.99585986458914,868.566857987895
117,58.5,795.0039960039962,198.999916757128,884.6902750230461
118,59.0,795.0279720279723,199.00803051227618,900.8897299722428
119,59.5,795.0559440559443,199.01749650953474,917.114530041365
120,60.0,795.0799200799204,199.02561017828333,933.3139833711714
121,60.5,795.0919080919083,199.02966699771582,949.4373990360872
122,61.0,795.0839160839164,199.0269624525349,965.4340862137899
123,61.5,795.0839160839164,199.0269624525349,981.4814647739241
124,62.0,795.0839160839164,199.0269624525349,997.5288433340587
125,62.5,795.0839160839164,199.0269624525349,1013.5762218941929
126,63.0,795.0839160839164,199.0269624525349,1029.623600454327
127,63.5,795.0732600732604,199.02335638540598,1045.6033903754574
128,64.0,795.0541680541683,199.01689549544992,1061.5296722551152
129,64.5,795.1103341103344,199.0359024600215,1077.9332989995107
130,65.0,795.2781662781665,199.09269667392087,1095.0451734449289
132,66.0,795.8156288156291,199.2745603426383,864.4279356376244
133,66.5,796.0117660117662,199.3409232715015,847.6713202383535
134,67.0,796.0834720834723,199.36518433537563,830.1255881497829
135,67.5,796.0933510933513,199.3685267766239,812.1877776049362
136,68.0,796.0846930846933,199.3655974464503,794.1324150347403
