Wave Index,Frame Number,Center of Mass X Coord
2,88,246.0
2,89,241.0
2,89,241.0
2,90,236.0
2,90,236.0
2,91,230.0
2,91,230.0
2,92,225.0
2,92,225.0
2,93,221.0
2,93,221.0
2,94,218.0
2,94,218.0
2,95,215.0
2,95,215.0
2,96,213.0
2,96,213.0
2,97,212.0
2,97,212.0
2,98,211.0
2,98,211.0
2,99,210.0
2,99,210.0
2,100,210.0
2,100,210.0
2,101,209.0
2,101,209.0
2,102,208.0
2,102,208.0
2,103,207.0
2,103,207.0
2,104,207.0
2,104,207.0
2,105,208.0
2,105,208.0
2,106,207.0
2,106,207.0
2,107,206.0
2,107,206.0
2,108,205.0
2,108,205.0
2,109,205.0
2,109,205.0
2,110,205.0
2,110,205.0
2,111,205.0
2,111,205.0
2,112,204.0
2,112,204.0
2,113,204.0
2,113,204.0
2,114,205.0
2,114,205.0
2,115,204.0
2,115,204.0
2,116,204.0
2,116,204.0
2,117,204.0
2,117,204.0
2,118,204.0
2,118,204.0
2,119,205.0
2,119,205.0
2,120,203.0
2,120,203.0
2,121,203.0
2,121,203.0
2,122,203.0
2,122,203.0
2,123,203.0
2,123,203.0
2,124,203.0
2,124,203.0
2,125,204.0
2,125,204.0
2,126,202.0
2,126,202.0
2,127,203.0
2,127,203.0
2,128,202.0
2,128,202.0
2,129,204.0
2,129,204.0
2,130,203.0
2,130,203.0
2,131,203.0
2,131,203.0
2,132,202.0
2,132,202.0
2,133,203.0
2,133,203.0
2,134,202.0
2,134,202.0
2,135,202.0
2,135,202.0
2,136,202.0
2,136,202.0
2,137,203.0
2,137,203.0
2,138,202.0
2,138,202.0
2,139,202.0
2,139,202.0
2,140,202.0
2,140,202.0
2,141,202.0
2,141,202.0
2,142,202.0
2,142,202.0
2,143,201.0
2,143,201.0
2,144,202.0
2,144,202.0
2,145,202.0
2,145,202.0
2,146,202.0
2,146,202.0
2,147,202.0
2,147,202.0
2,148,201.0
2,148,201.0
2,149,202.0
2,149,202.0
2,150,201.0
2,150,201.0
2,151,202.0
2,151,202.0
2,152,202.0
2,152,202.0
2,153,201.0
2,153,201.0
2,154,202.0
2,154,202.0
2,155,202.0
2,155,202.0
2,156,201.0
2,156,201.0
2,157,201.0
2,157,201.0
3,36,891.0
3,37,884.0
3,37,884.0
3,38,876.0
3,38,876.0
3,39,868.0
3,39,868.0
3,40,862.0
3,40,862.0
3,41,852.0
3,41,852.0
3,42,846.0
3,42,846.0
3,43,839.0
3,43,839.0
3,44,831.0
3,44,831.0
3,45,823.0
3,45,823.0
3,46,817.0
3,46,817.0
3,47,811.0
3,47,811.0
3,48,803.0
3,48,803.0
3,49,797.0
3,49,797.0
3,50,790.0
3,50,790.0
3,51,783.0
3,51,783.0
3,52,777.0
3,52,777.0
3,53,769.0
3,53,769.0
3,54,762.0
3,54,762.0
3,55,755.0
3,55,755.0
3,56,750.0
3,56,750.0
3,57,743.0
3,57,743.0
3,58,737.0
3,58,737.0
3,59,730.0
3,59,730.0
3,60,722.0
3,60,722.0
3,61,717.0
3,61,717.0
3,62,710.0
3,62,710.0
3,63,703.0
3,63,703.0
3,64,697.0
3,64,697.0
3,65,690.0
3,65,690.0
3,66,682.0
3,66,682.0
3,67,676.0
3,67,676.0
3,68,670.0
3,68,670.0
3,69,662.0
3,69,662.0
3,70,656.0
3,70,656.0
3,71,648.0
3,71,648.0
3,72,642.0
3,72,642.0
3,73,634.0
3,73,634.0
3,74,626.0
3,74,626.0
3,75,620.0
3,75,620.0
3,76,613.0
3,76,613.0
3,77,606.0
3,77,606.0
3,78,597.0
3,78,597.0
3,79,589.0
3,79,589.0
3,80,584.0
3,80,584.0
3,81,575.0
3,81,575.0
3,82,565.0
3,82,565.0
3,83,558.0
3,83,558.0
3,84,552.0
3,84,552.0
3,85,542.0
3,85,542.0
3,86,534.0
3,86,534.0
3,87,527.0
3,87,527.0
3,88,519.0
3,88,519.0
3,89,511.0
3,89,511.0
3,90,503.0
3,90,503.0
3,91,494.0
3,91,494.0
3,92,488.0
3,92,488.0
3,93,483.0
3,93,483.0
3,94,479.0
3,94,479.0
3,95,475.0
3,95,475.0
3,96,472.0
3,96,472.0
3,97,469.0
3,97,469.0
3,98,468.0
3,98,468.0
3,99,466.0
3,99,466.0
3,100,466.0
3,100,466.0
3,101,463.0
3,101,463.0
3,102,464.0
3,102,464.0
3,103,463.0
3,103,463.0
3,104,462.0
3,104,462.0
3,105,462.0
3,105,462.0
3,106,461.0
3,106,461.0
3,107,461.0
3,107,461.0
3,108,460.0
3,108,460.0
3,109,459.0
3,109,459.0
3,110,460.0
3,110,460.0
3,111,460.0
3,111,460.0
3,112,459.0
3,112,459.0
3,113,459.0
3,113,459.0
3,114,459.0
3,114,459.0
3,115,459.0
3,115,459.0
3,116,458.0
3,116,458.0
3,117,458.0
3,117,458.0
3,118,457.0
3,118,457.0
3,119,458.0
3,119,458.0
3,120,457.0
3,120,457.0
3,121,457.0
3,121,457.0
3,122,457.0
3,122,457.0
3,123,456.0
3,123,456.0
3,124,456.0
3,124,456.0
3,125,457.0
3,125,457.0
3,126,456.0
3,126,456.0
3,127,456.0
3,127,456.0
3,128,456.0
3,128,456.0
3,129,455.0
3,129,455.0
3,130,456.0
3,130,456.0
3,131,455.0
3,131,455.0
3,132,456.0
3,132,456.0
3,133,455.0
3,133,455.0
3,134,455.0
3,134,455.0
3,135,455.0
3,135,455.0
3,136,455.0
3,136,455.0
3,137,455.0
3,137,455.0
3,138,455.0
3,138,455.0
3,139,455.0
3,139,455.0
3,140,454.0
3,140,454.0
3,141,454.0
3,141,454.0
3,142,455.0
3,142,455.0
3,143,454.0
3,143,454.0
3,144,454.0
3,144,454.0
3,145,454.0
3,145,454.0
3,146,454.0
3,146,454.0
3,147,455.0
3,147,455.0
3,148,454.0
3,148,454.0
3,149,454.0
3,149,454.0
3,150,454.0
3,150,454.0
3,151,454.0
3,151,454.0
3,152,454.0
3,152,454.0
3,153,453.0
3,153,453.0
3,154,453.0
3,154,453.0
3,155,453.0
3,155,453.0
3,156,455.0
3,156,455.0
3,157,454.0
3,157,454.0
4,36,933.0
4,37,924.0
4,37,924.0
4,38,916.0
4,38,916.0
4,39,908.0
4,39,908.0
4,40,901.0
4,40,901.0
4,41,893.0
4,41,893.0
4,42,886.0
4,42,886.0
4,43,879.0
4,43,879.0
4,44,873.0
4,44,873.0
4,45,865.0
4,45,865.0
4,46,857.0
4,46,857.0
4,47,850.0
4,47,850.0
4,48,845.0
4,48,845.0
4,49,838.0
4,49,838.0
4,50,830.0
4,50,830.0
4,51,824.0
4,51,824.0
4,52,816.0
4,52,816.0
4,53,810.0
4,53,810.0
4,54,804.0
4,54,804.0
4,55,797.0
4,55,797.0
4,56,791.0
4,56,791.0
4,57,784.0
4,57,784.0
4,58,778.0
4,58,778.0
4,59,771.0
4,59,771.0
4,60,765.0
4,60,765.0
4,61,758.0
4,61,758.0
4,62,751.0
4,62,751.0
4,63,745.0
4,63,745.0
4,64,739.0
4,64,739.0
4,65,731.0
4,65,731.0
4,66,724.0
4,66,724.0
4,67,719.0
4,67,719.0
4,68,712.0
4,68,712.0
4,69,705.0
4,69,705.0
4,70,697.0
4,70,697.0
4,71,690.0
4,71,690.0
4,72,684.0
4,72,684.0
4,73,677.0
4,73,677.0
4,74,670.0
4,74,670.0
4,75,661.0
4,75,661.0
4,76,655.0
4,76,655.0
4,77,647.0
4,77,647.0
4,78,640.0
4,78,640.0
4,79,631.0
4,79,631.0
4,80,623.0
4,80,623.0
4,81,616.0
4,81,616.0
4,82,608.0
4,82,608.0
4,83,601.0
4,83,601.0
4,84,591.0
4,84,591.0
4,85,585.0
4,85,585.0
4,86,577.0
4,86,577.0
4,87,568.0
4,87,568.0
4,88,560.0
4,88,560.0
4,89,552.0
4,89,552.0
4,90,544.0
4,90,544.0
4,91,536.0
4,91,536.0
4,92,530.0
4,92,530.0
4,93,524.0
4,93,524.0
4,94,520.0
4,94,520.0
4,95,516.0
4,95,516.0
4,96,514.0
4,96,514.0
4,97,512.0
4,97,512.0
4,98,510.0
4,98,510.0
4,99,509.0
4,99,509.0
4,100,507.0
4,100,507.0
4,101,507.0
4,101,507.0
4,102,505.0
4,102,505.0
4,103,505.0
4,103,505.0
4,104,505.0
4,104,505.0
4,105,504.0
4,105,504.0
4,106,504.0
4,106,504.0
4,107,502.0
4,107,502.0
4,108,502.0
4,108,502.0
4,109,502.0
4,109,502.0
4,110,501.0
4,110,501.0
4,111,500.0
4,111,500.0
4,112,501.0
4,112,501.0
4,113,500.0
4,113,500.0
4,114,500.0
4,114,500.0
4,115,500.0
4,115,500.0
4,116,500.0
4,116,500.0
4,117,499.0
4,117,499.0
4,118,498.0
4,118,498.0
4,119,499.0
4,119,499.0
4,120,498.0
4,120,498.0
4,121,498.0
4,121,498.0
4,122,498.0
4,122,498.0
4,123,498.0
4,123,498.0
4,124,498.0
4,124,498.0
4,125,497.0
4,125,497.0
4,126,498.0
4,126,498.0
4,127,498.0
4,127,498.0
4,128,498.0
4,128,498.0
4,129,497.0
4,129,497.0
4,130,497.0
4,130,497.0
4,131,498.0
4,131,498.0
4,132,496.0
4,132,496.0
4,133,496.0
4,133,496.0
4,134,497.0
4,134,497.0
4,135,497.0
4,135,497.0
4,136,497.0
4,136,497.0
4,137,497.0
4,137,497.0
4,138,496.0
4,138,496.0
4,139,496.0
4,139,496.0
4,140,496.0
4,140,496.0
4,141,496.0
4,141,496.0
4,142,496.0
4,142,496.0
4,143,495.0
4,143,495.0
4,144,495.0
4,144,495.0
4,145,496.0
4,145,496.0
4,146,495.0
4,146,495.0
4,147,495.0
4,147,495.0
4,148,496.0
4,148,496.0
4,149,495.0
4,149,495.0
4,150,495.0
4,150,495.0
4,151,495.0
4,151,495.0
4,152,495.0
4,152,495.0
4,153,495.0
4,153,495.0
4,154,496.0
4,154,496.0
4,155,495.0
4,155,495.0
4,156,496.0
4,156,496.0
4,157,496.0
4,157,496.0
5,36,1241.0
5,56,1104.0
5,56,1104.0
5,57,1094.0
5,57,1094.0
5,58,1086.0
5,58,1086.0
5,59,1075.0
5,59,1075.0
5,60,1065.0
5,60,1065.0
5,61,1056.0
5,61,1056.0
5,62,1048.0
5,62,1048.0
5,63,1037.0
5,63,1037.0
5,64,1029.0
5,64,1029.0
5,65,1019.0
5,65,1019.0
5,66,1010.0
5,66,1010.0
5,67,1002.0
5,67,1002.0
5,68,993.0
5,68,993.0
5,69,983.0
5,69,983.0
5,70,976.0
5,70,976.0
5,71,966.0
5,71,966.0
5,72,958.0
5,72,958.0
5,73,951.0
5,73,951.0
5,74,943.0
5,74,943.0
5,75,934.0
5,75,934.0
5,76,927.0
5,76,927.0
5,77,919.0
5,77,919.0
5,78,913.0
5,78,913.0
5,79,904.0
5,79,904.0
5,80,896.0
5,80,896.0
5,81,889.0
5,81,889.0
5,82,882.0
5,82,882.0
5,83,875.0
5,83,875.0
5,84,869.0
5,84,869.0
5,85,860.0
5,85,860.0
5,86,856.0
5,86,856.0
5,87,849.0
5,87,849.0
5,88,843.0
5,88,843.0
5,89,837.0
5,89,837.0
5,90,831.0
5,90,831.0
5,91,826.0
5,91,826.0
5,92,820.0
5,92,820.0
5,93,817.0
5,93,817.0
5,94,814.0
5,94,814.0
5,95,810.0
5,95,810.0
5,96,809.0
5,96,809.0
5,97,807.0
5,97,807.0
5,98,807.0
5,98,807.0
5,99,805.0
5,99,805.0
5,100,805.0
5,100,805.0
5,101,803.0
5,101,803.0
5,102,802.0
5,102,802.0
5,103,802.0
5,103,802.0
5,104,802.0
5,104,802.0
5,105,800.0
5,105,800.0
5,106,801.0
5,106,801.0
5,107,801.0
5,107,801.0
5,108,801.0
5,108,801.0
5,109,799.0
5,109,799.0
5,110,800.0
5,110,800.0
5,111,799.0
5,111,799.0
5,112,798.0
5,112,798.0
5,113,799.0
5,113,799.0
5,114,798.0
5,114,798.0
5,115,798.0
5,115,798.0
5,116,798.0
5,116,798.0
5,117,799.0
5,117,799.0
5,118,797.0
5,118,797.0
5,119,798.0
5,119,798.0
5,120,798.0
5,120,798.0
5,121,798.0
5,121,798.0
5,122,797.0
5,122,797.0
5,123,797.0
5,123,797.0
5,124,797.0
5,124,797.0
5,125,797.0
5,125,797.0
5,126,797.0
5,126,797.0
5,127,797.0
5,127,797.0
5,128,796.0
5,128,796.0
5,129,796.0
5,129,796.0
5,130,795.0
5,130,795.0
5,131,796.0
5,131,796.0
5,132,797.0
5,132,797.0
5,133,795.0
5,133,795.0
5,134,796.0
5,134,796.0
5,135,796.0
5,135,796.0
5,136,795.0
5,136,795.0
5,137,796.0
5,137,796.0
5,138,796.0
5,138,796.0
5,139,795.0
5,139,795.0
5,140,795.0
5,140,795.0
5,141,796.0
5,141,796.0
5,142,795.0
5,142,795.0
5,143,796.0
5,143,796.0
5,144,796.0
5,144,796.0
5,145,796.0
5,145,796.0
5,146,796.0
5,146,796.0
5,147,795.0
5,147,795.0
5,148,795.0
5,148,795.0
5,149,794.0
5,149,794.0
5,150,794.0
5,150,794.0
5,151,795.0
5,151,795.0
5,152,795.0
5,152,795.0
5,153,795.0
5,153,795.0
5,154,795.0
5,154,795.0
5,155,796.0
5,155,796.0
5,156,795.0
5,156,795.0
5,157,795.0
5,157,795.0
6,53,1091.0
6,53,1091.0
6,54,1083.0
6,54,1083.0
6,55,1073.0
6,55,1073.0
6,56,1063.0
6,56,1063.0
6,57,1053.0
6,57,1053.0
6,58,1044.0
6,58,1044.0
6,59,1035.0
6,59,1035.0
6,60,1025.0
6,60,1025.0
6,61,1016.0
6,61,1016.0
6,62,1005.0
6,62,1005.0
6,63,997.0
6,63,997.0
6,64,987.0
6,64,987.0
6,65,979.0
6,65,979.0
6,66,969.0
6,66,969.0
6,67,959.0
6,67,959.0
6,68,950.0
6,68,950.0
6,69,941.0
6,69,941.0
6,70,934.0
6,70,934.0
6,71,925.0
6,71,925.0
6,72,917.0
6,72,917.0
6,73,910.0
6,73,910.0
6,74,900.0
6,74,900.0
6,75,891.0
6,75,891.0
6,76,886.0
6,76,886.0
6,77,878.0
6,77,878.0
6,78,870.0
6,78,870.0
6,79,862.0
6,79,862.0
6,80,856.0
6,80,856.0
6,81,848.0
6,81,848.0
6,82,840.0
6,82,840.0
6,83,833.0
6,83,833.0
6,84,827.0
6,84,827.0
6,85,819.0
6,85,819.0
6,86,814.0
6,86,814.0
6,87,808.0
6,87,808.0
6,88,801.0
6,88,801.0
6,89,793.0
6,89,793.0
6,90,788.0
6,90,788.0
6,91,784.0
6,91,784.0
6,92,778.0
6,92,778.0
6,93,775.0
6,93,775.0
6,94,771.0
6,94,771.0
6,95,768.0
6,95,768.0
6,96,767.0
6,96,767.0
6,97,765.0
6,97,765.0
6,98,763.0
6,98,763.0
6,99,762.0
6,99,762.0
6,100,761.0
6,100,761.0
6,101,760.0
6,101,760.0
6,102,760.0
6,102,760.0
6,103,760.0
6,103,760.0
6,104,759.0
6,104,759.0
6,105,758.0
6,105,758.0
6,106,758.0
6,106,758.0
6,107,758.0
6,107,758.0
6,108,758.0
6,108,758.0
6,109,757.0
6,109,757.0
6,110,757.0
6,110,757.0
6,111,758.0
6,111,758.0
6,112,756.0
6,112,756.0
6,113,757.0
6,113,757.0
6,114,756.0
6,114,756.0
6,115,755.0
6,115,755.0
6,116,755.0
6,116,755.0
6,117,755.0
6,117,755.0
6,118,755.0
6,118,755.0
6,119,756.0
6,119,756.0
6,120,756.0
6,120,756.0
6,121,754.0
6,121,754.0
6,122,754.0
6,122,754.0
6,123,755.0
6,123,755.0
6,124,754.0
6,124,754.0
6,125,755.0
6,125,755.0
6,126,755.0
6,126,755.0
6,127,754.0
6,127,754.0
6,128,755.0
6,128,755.0
6,129,753.0
6,129,753.0
6,130,754.0
6,130,754.0
6,131,754.0
6,131,754.0
6,132,753.0
6,132,753.0
6,133,755.0
6,133,755.0
6,134,754.0
6,134,754.0
6,135,754.0
6,135,754.0
6,136,753.0
6,136,753.0
6,137,753.0
6,137,753.0
6,138,754.0
6,138,754.0
6,139,753.0
6,139,753.0
6,140,754.0
6,140,754.0
6,141,754.0
6,141,754.0
6,142,752.0
6,142,752.0
6,143,753.0
6,143,753.0
6,144,752.0
6,144,752.0
6,145,752.0
6,145,752.0
6,146,752.0
6,146,752.0
6,147,752.0
6,147,752.0
6,148,753.0
6,148,753.0
6,149,753.0
6,149,753.0
6,150,753.0
6,150,753.0
6,151,753.0
6,151,753.0
6,152,752.0
6,152,752.0
6,153,752.0
6,153,752.0
6,154,753.0
6,154,753.0
6,155,752.0
6,155,752.0
6,156,752.0
6,156,752.0
6,157,752.0
6,157,752.0
7,69,1289.0
7,69,1289.0
7,70,1285.0
7,70,1285.0
7,71,1281.0
7,71,1281.0
7,72,1275.0
7,72,1275.0
7,73,1267.0
7,73,1267.0
7,74,1260.0
7,74,1260.0
7,75,1251.0
7,75,1251.0
7,76,1244.0
7,76,1244.0
7,77,1236.0
7,77,1236.0
7,78,1229.0
7,78,1229.0
7,79,1220.0
7,79,1220.0
7,80,1212.0
7,80,1212.0
7,81,1203.0
7,81,1203.0
7,82,1196.0
7,82,1196.0
7,83,1187.0
7,83,1187.0
7,84,1179.0
7,84,1179.0
7,85,1169.0
7,85,1169.0
7,86,1161.0
7,86,1161.0
7,87,1154.0
7,87,1154.0
7,88,1144.0
7,88,1144.0
7,89,1136.0
7,89,1136.0
7,90,1128.0
7,90,1128.0
7,91,1120.0
7,91,1120.0
7,92,1114.0
7,92,1114.0
7,93,1107.0
7,93,1107.0
7,94,1102.0
7,94,1102.0
7,95,1100.0
7,95,1100.0
7,96,1096.0
7,96,1096.0
7,97,1094.0
7,97,1094.0
7,98,1092.0
7,98,1092.0
7,99,1091.0
7,99,1091.0
7,100,1089.0
7,100,1089.0
7,101,1088.0
7,101,1088.0
7,102,1088.0
7,102,1088.0
7,103,1086.0
7,103,1086.0
7,104,1085.0
7,104,1085.0
7,105,1086.0
7,105,1086.0
7,106,1085.0
7,106,1085.0
7,107,1085.0
7,107,1085.0
7,108,1084.0
7,108,1084.0
7,109,1084.0
7,109,1084.0
7,110,1082.0
7,110,1082.0
7,111,1083.0
7,111,1083.0
7,112,1083.0
7,112,1083.0
7,113,1082.0
7,113,1082.0
7,114,1082.0
7,114,1082.0
7,115,1082.0
7,115,1082.0
7,116,1082.0
7,116,1082.0
7,117,1081.0
7,117,1081.0
7,118,1080.0
7,118,1080.0
7,119,1080.0
7,119,1080.0
7,120,1080.0
7,120,1080.0
7,121,1080.0
7,121,1080.0
7,122,1080.0
7,122,1080.0
7,123,1079.0
7,123,1079.0
7,124,1080.0
7,124,1080.0
7,125,1078.0
7,125,1078.0
7,126,1079.0
7,126,1079.0
7,127,1078.0
7,127,1078.0
7,128,1079.0
7,128,1079.0
7,129,1079.0
7,129,1079.0
7,130,1078.0
7,130,1078.0
7,131,1077.0
7,131,1077.0
7,132,1078.0
7,132,1078.0
7,133,1077.0
7,133,1077.0
7,134,1077.0
7,134,1077.0
7,135,1077.0
7,135,1077.0
7,136,1077.0
7,136,1077.0
7,137,1077.0
7,137,1077.0
7,138,1077.0
7,138,1077.0
7,139,1077.0
7,139,1077.0
7,140,1077.0
7,140,1077.0
7,141,1076.0
7,141,1076.0
7,142,1076.0
7,142,1076.0
7,143,1076.0
7,143,1076.0
7,144,1076.0
7,144,1076.0
7,145,1076.0
7,145,1076.0
7,146,1076.0
7,146,1076.0
7,147,1076.0
7,147,1076.0
7,148,1076.0
7,148,1076.0
7,149,1076.0
7,149,1076.0
7,150,1075.0
7,150,1075.0
7,151,1075.0
7,151,1075.0
7,152,1075.0
7,152,1075.0
7,153,1076.0
7,153,1076.0
7,154,1076.0
7,154,1076.0
7,155,1075.0
7,155,1075.0
7,156,1076.0
7,156,1076.0
7,157,1076.0
7,157,1076.0
8,75,1288.0
8,75,1288.0
8,76,1284.0
8,76,1284.0
8,77,1279.0
8,77,1279.0
8,78,1272.0
8,78,1272.0
8,79,1265.0
8,79,1265.0
8,80,1256.0
8,80,1256.0
8,81,1248.0
8,81,1248.0
8,82,1238.0
8,82,1238.0
8,83,1231.0
8,83,1231.0
8,84,1223.0
8,84,1223.0
8,85,1213.0
8,85,1213.0
8,86,1205.0
8,86,1205.0
8,87,1197.0
8,87,1197.0
8,88,1189.0
8,88,1189.0
8,89,1181.0
8,89,1181.0
8,90,1172.0
8,90,1172.0
8,91,1163.0
8,91,1163.0
8,92,1159.0
8,92,1159.0
8,93,1151.0
8,93,1151.0
8,94,1145.0
8,94,1145.0
8,95,1142.0
8,95,1142.0
8,96,1139.0
8,96,1139.0
8,97,1136.0
8,97,1136.0
8,98,1136.0
8,98,1136.0
8,99,1135.0
8,99,1135.0
8,100,1132.0
8,100,1132.0
8,101,1131.0
8,101,1131.0
8,102,1130.0
8,102,1130.0
8,103,1130.0
8,103,1130.0
8,104,1129.0
8,104,1129.0
8,105,1129.0
8,105,1129.0
8,106,1129.0
8,106,1129.0
8,107,1128.0
8,107,1128.0
8,108,1127.0
8,108,1127.0
8,109,1127.0
8,109,1127.0
8,110,1127.0
8,110,1127.0
8,111,1125.0
8,111,1125.0
8,112,1125.0
8,112,1125.0
8,113,1126.0
8,113,1126.0
8,114,1125.0
8,114,1125.0
8,115,1124.0
8,115,1124.0
8,116,1125.0
8,116,1125.0
8,117,1124.0
8,117,1124.0
8,118,1124.0
8,118,1124.0
8,119,1124.0
8,119,1124.0
8,120,1125.0
8,120,1125.0
8,121,1123.0
8,121,1123.0
8,122,1124.0
8,122,1124.0
8,123,1123.0
8,123,1123.0
8,124,1123.0
8,124,1123.0
8,125,1123.0
8,125,1123.0
8,126,1122.0
8,126,1122.0
8,127,1123.0
8,127,1123.0
8,128,1122.0
8,128,1122.0
8,129,1122.0
8,129,1122.0
8,130,1122.0
8,130,1122.0
8,131,1122.0
8,131,1122.0
8,132,1122.0
8,132,1122.0
8,133,1121.0
8,133,1121.0
